date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-04,1,0,0.0
2020-03-05,0,0,0.0
2020-03-06,2,0,1.1
2020-03-07,0,0,1.1
2020-03-08,0,0,1.1
2020-03-09,3,0,2.7
2020-03-10,3,0,4.4
2020-03-11,11,0,10.3
2020-03-12,1,0,10.8
2020-03-13,3,0,11.4
2020-03-14,2,0,12.4
2020-03-15,3,0,14.1
2020-03-16,3,0,14.1
2020-03-17,8,0,16.7
2020-03-18,9,0,15.7
2020-03-19,3,0,16.8
2020-03-20,8,0,19.4
2020-03-21,11,0,24.3
2020-03-22,14,0,30.2
2020-03-23,13,0,35.6
2020-03-24,14,0,38.9
2020-03-25,19,0,44.3
2020-03-26,24,0,55.6
2020-03-27,8,0,55.6
2020-03-28,12,0,56.2
2020-03-29,7,0,52.4
2020-03-30,12,0,51.9
2020-03-31,19,0,54.5
2020-04-01,27,0,58.8
2020-04-02,19,0,56.2
2020-04-03,20,0,62.7
2020-04-04,16,0,64.8
2020-04-05,10,0,66.4
2020-04-06,16,0,68.6
2020-04-07,22,0,70.3
2020-04-08,19,0,65.9
2020-04-09,10,0,61.0
2020-04-10,17,0,59.4
2020-04-11,4,0,53.0
2020-04-12,7,0,51.3
2020-04-13,9,0,47.5
2020-04-14,9,0,40.5
2020-04-15,30,0,46.5
2020-04-16,25,0,54.6
2020-04-17,17,12,54.6
2020-04-18,4,28,54.5
2020-04-19,6,20,54.1
2020-04-20,10,17,54.6
2020-04-21,18,7,59.4
2020-04-22,23,6,55.6
2020-04-23,50,9,69.1
2020-04-24,10,20,65.3
2020-04-25,3,27,64.8
2020-04-26,5,41,64.2
2020-04-27,5,7,61.5
2020-04-28,4,3,54.0
2020-04-29,9,3,46.5
2020-04-30,5,0,22.2
2020-05-01,9,3,21.6
2020-05-02,1,2,20.6
2020-05-03,2,0,18.9
2020-05-04,5,7,18.9
2020-05-05,1,10,17.3
2020-05-06,2,3,13.5
2020-05-07,4,6,12.9
2020-05-08,3,1,9.7
2020-05-09,1,1,9.7
2020-05-10,1,1,9.2
2020-05-11,2,0,7.6
2020-05-12,2,2,8.1
2020-05-13,3,0,8.6
2020-05-14,1,1,7.0
2020-05-15,2,3,6.5
2020-05-16,0,3,5.9
2020-05-17,1,1,6.0
2020-05-18,3,1,6.5
2020-05-19,1,0,5.9
2020-05-20,5,1,7.0
2020-05-21,2,2,7.6
2020-05-22,4,3,8.7
2020-05-23,0,0,8.7
2020-05-24,0,6,8.1
2020-05-25,1,1,7.0
2020-05-26,1,1,7.0
2020-05-27,0,0,4.3
2020-05-28,0,1,3.2
2020-05-29,2,0,2.1
2020-05-30,0,0,2.1
2020-05-31,0,2,2.1
2020-06-01,1,1,2.2
2020-06-02,2,0,2.7
2020-06-03,3,0,4.4
2020-06-04,1,3,4.9
2020-06-05,0,3,3.8
2020-06-06,2,0,4.9
2020-06-07,1,1,5.4
2020-06-08,1,0,5.4
2020-06-09,1,2,4.9
2020-06-10,1,2,3.7
2020-06-11,0,0,3.2
2020-06-12,1,0,3.8
2020-06-13,0,1,2.7
2020-06-14,1,3,2.7
2020-06-15,0,0,2.1
2020-06-16,0,0,1.6
2020-06-17,3,1,2.7
2020-06-18,2,0,3.8
2020-06-19,2,2,4.3
2020-06-20,1,1,4.8
2020-06-21,0,4,4.3
2020-06-22,3,2,6.0
2020-06-23,3,0,7.6
2020-06-24,4,1,8.2
2020-06-25,4,4,9.2
2020-06-26,0,0,8.1
2020-06-27,5,9,10.3
2020-06-28,0,1,10.3
2020-06-29,0,0,8.6
2020-06-30,3,1,8.6
2020-07-01,1,57,7.0
2020-07-02,1,0,5.4
2020-07-03,2,0,6.5
2020-07-04,0,3,3.8
2020-07-05,3,2,5.4
2020-07-06,0,0,5.4
2020-07-07,0,1,3.8
2020-07-08,1,1,3.8
2020-07-09,2,0,4.3
2020-07-10,0,0,3.2
2020-07-11,0,3,3.2
2020-07-12,0,2,1.6
2020-07-13,1,0,2.2
2020-07-14,0,1,2.2
2020-07-15,0,0,1.6
2020-07-16,1,2,1.1
2020-07-17,2,0,2.2
2020-07-18,0,3,2.2
2020-07-19,0,0,2.2
2020-07-20,3,1,3.2
2020-07-21,1,0,3.8
2020-07-22,5,1,6.5
2020-07-23,1,4,6.5
2020-07-24,5,2,8.1
2020-07-25,1,3,8.6
2020-07-26,2,2,9.7
2020-07-27,3,5,9.7
2020-07-28,0,2,9.1
2020-07-29,1,0,7.0
2020-07-30,3,4,8.1
2020-07-31,3,1,7.0
2020-08-01,4,1,8.7
2020-08-02,0,4,7.6
2020-08-03,1,1,6.5
2020-08-04,4,2,8.7
2020-08-05,4,1,10.2
2020-08-06,2,5,9.7
2020-08-07,7,2,11.9
2020-08-08,3,4,11.3
2020-08-09,0,6,11.3
2020-08-10,4,4,13.0
2020-08-11,4,3,12.9
2020-08-12,5,0,13.5
2020-08-13,5,0,15.1
2020-08-14,6,11,14.6
2020-08-15,4,2,15.1
2020-08-16,0,8,15.1
2020-08-17,7,3,16.7
2020-08-18,2,3,15.7
2020-08-19,1,4,13.5
2020-08-20,11,5,16.8
2020-08-21,3,1,15.1
2020-08-22,7,7,16.8
2020-08-23,4,4,18.9
2020-08-24,7,8,18.9
2020-08-25,5,4,20.5
2020-08-26,5,5,22.7
2020-08-27,6,5,20.0
2020-08-28,8,4,22.7
2020-08-29,5,6,21.6
2020-08-30,6,1,22.7
2020-08-31,5,6,21.6
2020-09-01,13,11,26.0
2020-09-02,8,5,27.6
2020-09-03,9,5,29.1
2020-09-04,10,12,30.2
2020-09-05,9,4,32.4
2020-09-06,2,8,30.3
2020-09-07,9,6,32.4
2020-09-08,8,9,29.7
2020-09-09,6,11,28.6
2020-09-10,8,10,28.1
2020-09-11,5,11,25.4
2020-09-12,10,4,25.9
2020-09-13,5,7,27.5
2020-09-14,6,4,26.0
2020-09-15,5,10,24.3
2020-09-16,8,9,25.4
2020-09-17,4,1,23.2
2020-09-18,9,12,25.4
2020-09-19,7,0,23.8
2020-09-20,1,4,21.6
2020-09-21,5,12,21.0
2020-09-22,12,5,24.8
2020-09-23,15,6,28.6
2020-09-24,18,11,36.2
2020-09-25,11,11,37.3
2020-09-26,18,8,43.2
2020-09-27,6,13,45.9
2020-09-28,16,7,51.9
2020-09-29,13,17,52.4
2020-09-30,27,8,58.9
2020-10-01,30,11,65.4
2020-10-02,19,6,69.7
2020-10-03,20,28,70.8
2020-10-04,16,39,76.2
2020-10-05,25,20,81.0
2020-10-06,32,20,91.3
2020-10-07,31,26,93.4
2020-10-08,39,29,98.3
2020-10-09,30,25,104.2
2020-10-10,34,39,111.8
2020-10-11,14,16,110.7
2020-10-12,36,15,116.7
2020-10-13,44,33,123.1
2020-10-14,45,54,130.7
2020-10-15,54,41,138.8
2020-10-16,54,38,151.8
2020-10-17,39,18,154.4
