date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,2,0,0.0
2020-03-12,3,0,0.9
2020-03-13,2,0,1.5
2020-03-14,3,0,2.4
2020-03-15,4,0,3.7
2020-03-16,5,0,5.2
2020-03-17,2,0,5.8
2020-03-18,7,0,7.9
2020-03-19,18,0,12.5
2020-03-20,6,0,13.7
2020-03-21,7,0,14.9
2020-03-22,13,0,17.6
2020-03-23,22,0,22.8
2020-03-24,17,0,27.3
2020-03-25,17,0,30.4
2020-03-26,14,0,29.2
2020-03-27,19,0,33.1
2020-03-28,18,0,36.5
2020-03-29,30,0,41.6
2020-03-30,35,0,45.6
2020-03-31,35,0,51.1
2020-04-01,30,0,55.0
2020-04-02,37,0,62.0
2020-04-03,30,0,65.4
2020-04-04,19,0,65.6
2020-04-05,25,0,64.1
2020-04-06,28,0,62.0
2020-04-07,31,0,60.8
2020-04-08,30,0,60.8
2020-04-09,21,0,55.9
2020-04-10,27,0,55.0
2020-04-11,12,0,52.9
2020-04-12,16,0,50.2
2020-04-13,21,0,48.0
2020-04-14,17,0,43.7
2020-04-15,29,0,43.5
2020-04-16,38,0,48.6
2020-04-17,21,36,46.8
2020-04-18,39,17,55.0
2020-04-19,23,58,57.1
2020-04-20,30,23,59.8
2020-04-21,27,18,62.9
2020-04-22,22,29,60.7
2020-04-23,29,26,58.0
2020-04-24,37,25,62.9
2020-04-25,18,14,56.6
2020-04-26,16,16,54.4
2020-04-27,36,27,56.3
2020-04-28,35,13,58.7
2020-04-29,28,14,60.5
2020-04-30,17,17,56.9
2020-05-01,23,48,52.6
2020-05-02,9,18,49.8
2020-05-03,17,3,50.2
2020-05-04,9,0,41.9
2020-05-05,19,26,37.1
2020-05-06,17,7,33.7
2020-05-07,21,10,34.9
2020-05-08,11,14,31.3
2020-05-09,8,16,31.0
2020-05-10,15,4,30.4
2020-05-11,13,9,31.6
2020-05-12,14,2,30.1
2020-05-13,17,13,30.1
2020-05-14,17,16,28.9
2020-05-15,18,7,31.0
2020-05-16,13,8,32.5
2020-05-17,8,3,30.4
2020-05-18,20,15,32.5
2020-05-19,13,26,32.2
2020-05-20,14,24,31.3
2020-05-21,11,15,29.5
2020-05-22,13,33,27.9
2020-05-23,6,8,25.9
2020-05-24,15,13,27.9
2020-05-25,6,2,23.7
2020-05-26,14,5,24.0
2020-05-27,10,12,22.8
2020-05-28,11,12,22.8
2020-05-29,4,19,20.1
2020-05-30,4,0,19.4
2020-05-31,5,0,16.4
2020-06-01,5,4,16.1
2020-06-02,8,4,14.3
2020-06-03,4,1,12.5
2020-06-04,10,3,12.1
2020-06-05,6,3,12.8
2020-06-06,5,0,13.1
2020-06-07,7,7,13.7
2020-06-08,8,0,14.6
2020-06-09,6,7,14.0
2020-06-10,5,3,14.3
2020-06-11,15,5,15.8
2020-06-12,7,0,16.1
2020-06-13,11,2,17.9
2020-06-14,8,4,18.2
2020-06-15,1,1,16.1
2020-06-16,7,2,16.4
2020-06-17,3,3,15.8
2020-06-18,5,1,12.8
2020-06-19,2,0,11.2
2020-06-20,4,1,9.1
2020-06-21,1,2,7.0
2020-06-22,5,1,8.2
2020-06-23,6,0,7.9
2020-06-24,0,0,7.0
2020-06-25,2,4,6.1
2020-06-26,4,1,6.7
2020-06-27,0,0,5.5
2020-06-28,2,3,5.8
2020-06-29,5,3,5.8
2020-06-30,0,0,3.9
2020-07-01,1,527,4.2
2020-07-02,2,0,4.2
2020-07-03,1,3,3.3
2020-07-04,1,3,3.6
2020-07-05,3,1,4.0
2020-07-06,1,0,2.8
2020-07-07,7,1,4.9
2020-07-08,5,1,6.1
2020-07-09,8,6,7.9
2020-07-10,4,6,8.8
2020-07-11,0,9,8.5
2020-07-12,3,5,8.5
2020-07-13,13,0,12.1
2020-07-14,13,0,14.0
2020-07-15,8,9,14.9
2020-07-16,16,10,17.4
2020-07-17,18,8,21.6
2020-07-18,4,22,22.8
2020-07-19,7,16,24.0
2020-07-20,25,6,27.7
2020-07-21,13,5,27.6
2020-07-22,12,25,28.9
2020-07-23,16,14,28.8
2020-07-24,19,13,29.2
2020-07-25,10,13,31.0
2020-07-26,12,16,32.5
2020-07-27,9,11,27.6
2020-07-28,10,14,26.8
2020-07-29,8,11,25.5
2020-07-30,11,8,24.0
2020-07-31,10,5,21.3
2020-08-01,6,3,20.1
2020-08-02,7,8,18.5
2020-08-03,12,16,19.5
2020-08-04,10,7,19.4
2020-08-05,11,14,20.4
2020-08-06,11,11,20.4
2020-08-07,16,4,22.2
2020-08-08,11,8,23.7
2020-08-09,11,15,24.9
2020-08-10,16,13,26.1
2020-08-11,14,22,27.4
2020-08-12,9,15,26.7
2020-08-13,15,0,28.0
2020-08-14,8,20,25.5
2020-08-15,10,18,25.2
2020-08-16,6,7,23.8
2020-08-17,17,5,24.0
2020-08-18,5,13,21.2
2020-08-19,5,11,20.1
2020-08-20,18,10,20.9
2020-08-21,12,4,22.2
2020-08-22,7,7,21.3
2020-08-23,7,16,21.5
2020-08-24,22,6,23.1
2020-08-25,17,16,26.8
2020-08-26,10,6,28.2
2020-08-27,15,29,27.4
2020-08-28,11,10,27.0
2020-08-29,14,17,29.2
2020-08-30,2,12,27.7
2020-08-31,7,11,23.1
2020-09-01,13,6,21.9
2020-09-02,16,10,23.7
2020-09-03,17,9,24.3
2020-09-04,36,6,31.9
2020-09-05,25,9,35.2
2020-09-06,30,16,43.7
2020-09-07,36,27,52.6
2020-09-08,43,28,61.7
2020-09-09,39,29,68.7
2020-09-10,34,30,73.8
2020-09-11,22,36,69.6
2020-09-12,25,38,69.6
2020-09-13,13,45,64.5
2020-09-14,19,22,59.3
2020-09-15,30,14,55.3
2020-09-16,44,31,56.8
2020-09-17,53,24,62.7
2020-09-18,50,43,71.1
2020-09-19,60,45,81.8
2020-09-20,64,47,97.2
2020-09-21,55,36,108.1
2020-09-22,64,51,118.5
2020-09-23,59,85,123.1
2020-09-24,72,59,128.8
2020-09-25,37,52,125.0
2020-09-26,55,55,123.4
2020-09-27,39,48,115.8
2020-09-28,57,16,116.4
2020-09-29,53,50,113.1
2020-09-30,71,36,116.7
2020-10-01,51,48,110.3
2020-10-02,65,26,118.8
2020-10-03,42,72,114.8
2020-10-04,39,120,114.9
2020-10-05,73,60,119.8
2020-10-06,68,64,124.3
2020-10-07,73,68,124.9
2020-10-08,78,69,133.1
2020-10-09,82,39,138.3
2020-10-10,44,65,138.9
2020-10-11,63,59,146.2
2020-10-12,117,54,159.5
2020-10-13,94,66,167.4
2020-10-14,104,146,176.9
2020-10-15,106,64,185.4
2020-10-16,101,129,191.1
2020-10-17,91,71,205.5
2020-10-18,93,91,214.5
2020-10-19,147,76,223.7
2020-10-20,165,116,245.3
2020-10-21,159,185,262.0
2020-10-22,130,125,269.3
2020-10-23,147,173,283.3
2020-10-24,126,144,293.9
2020-10-25,99,88,295.8
2020-10-26,202,143,312.4
2020-10-27,171,154,314.2
2020-10-28,183,201,321.5
2020-10-29,196,182,341.6
2020-10-30,224,179,365.0
2020-10-31,130,115,366.2
2020-11-01,127,263,374.7
2020-11-02,267,122,394.5
2020-11-03,254,152,419.7
2020-11-04,195,232,423.4
2020-11-05,231,189,434.0
2020-11-06,209,254,429.4
2020-11-07,173,165,442.5
2020-11-08,194,181,462.8
2020-11-09,283,244,467.7
2020-11-10,286,248,477.5
2020-11-11,262,156,497.8
2020-11-12,252,308,504.2
2020-11-13,230,274,510.6
2020-11-14,181,205,513.0
2020-11-15,161,222,503.0
2020-11-16,249,327,492.7
2020-11-17,267,203,486.8
2020-11-18,212,170,471.7
2020-11-19,180,247,449.8
2020-11-20,187,300,436.7
2020-11-21,128,211,420.6
2020-11-22,110,186,405.1
2020-11-23,142,147,372.6
2020-11-24,159,78,339.8
2020-11-25,137,178,316.9
2020-11-26,128,172,301.1
2020-11-27,125,126,282.3
2020-11-28,77,121,266.8
2020-11-29,94,86,262.0
2020-11-30,87,151,245.2
2020-12-01,133,99,237.4
2020-12-02,123,81,233.1
2020-12-03,89,113,221.3
2020-12-04,94,121,211.9
2020-12-05,79,90,212.5
2020-12-06,75,97,206.7
2020-12-07,93,114,208.5
2020-12-08,97,55,197.5
2020-12-09,106,79,192.4
2020-12-10,99,94,195.4
2020-12-11,115,100,201.8
2020-12-12,84,75,203.3
2020-12-13,89,115,207.5
2020-12-14,148,81,224.3
2020-12-15,169,103,246.2
2020-12-16,140,157,256.5
2020-12-17,142,95,269.6
2020-12-18,140,108,277.1
2020-12-19,118,84,287.5
2020-12-20,144,175,304.2
2020-12-21,219,155,325.8
2020-12-22,186,169,330.9
2020-12-23,197,258,348.3
2020-12-24,169,107,356.5
2020-12-25,99,199,344.1
2020-12-26,207,222,371.1
2020-12-27,226,111,396.0
2020-12-28,233,104,400.3
2020-12-29,523,341,502.7
2020-12-30,410,255,567.4
2020-12-31,396,439,636.4
2021-01-01,267,241,687.4
2021-01-02,489,485,773.1
2021-01-03,395,292,824.6
2021-01-04,624,561,943.3
2021-01-05,517,364,941.5
2021-01-06,484,573,964.0
2021-01-07,420,459,971.3
2021-01-08,374,422,1003.8
2021-01-09,348,381,961.0
2021-01-10,358,394,949.7
2021-01-11,529,475,920.9
2021-01-12,456,451,902.3
2021-01-13,476,482,899.9
2021-01-14,445,399,907.4
2021-01-15,453,650,931.5
2021-01-16,334,453,927.2
2021-01-17,333,328,919.6
2021-01-18,460,454,898.6
2021-01-19,454,360,898.1
2021-01-20,388,394,871.3
2021-01-21,331,400,836.7
2021-01-22,367,414,810.6
2021-01-23,238,369,781.4
2021-01-24,76,369,703.3
2021-01-25,300,240,654.7
2021-01-26,323,97,614.8
2021-01-27,259,286,575.6
2021-01-28,249,320,550.7
2021-01-29,241,296,512.3
2021-01-30,157,239,487.8
2021-01-31,175,246,517.8
2021-02-01,189,154,484.1
2021-02-02,202,178,447.4
2021-02-03,252,176,445.3
2021-02-04,184,204,425.5
2021-02-05,182,253,407.6
2021-02-06,137,191,401.4
2021-02-07,109,195,381.5
2021-02-08,173,159,376.5
2021-02-09,148,113,360.1
2021-02-10,146,165,327.9
2021-02-11,120,121,308.5
2021-02-12,127,160,291.8
2021-02-13,102,119,281.2
2021-02-14,75,142,270.7
2021-02-15,184,76,274.2
2021-02-16,147,96,273.8
2021-02-17,138,182,271.4
2021-02-18,104,154,266.5
2021-02-19,94,119,256.5
2021-02-20,90,89,252.8
2021-02-21,75,120,252.9
2021-02-22,133,90,237.3
2021-02-23,117,65,228.3
2021-02-24,55,133,203.0
2021-02-25,73,131,193.6
2021-02-26,56,58,182.0
2021-02-27,46,66,168.7
2021-02-28,34,65,156.2
2021-03-01,65,47,135.6
2021-03-02,57,47,117.3
2021-03-03,48,70,115.2
2021-03-04,35,54,103.6
2021-03-05,33,41,96.6
2021-03-06,28,37,91.2
2021-03-07,50,42,96.0
2021-03-08,52,29,92.0
2021-03-09,43,52,87.8
2021-03-10,38,41,84.8
2021-03-11,47,51,88.5
2021-03-12,40,37,90.6
2021-03-13,25,56,89.6
2021-03-14,45,35,88.2
2021-03-15,53,34,88.5
2021-03-16,32,38,85.1
2021-03-17,40,61,85.7
2021-03-18,35,34,82.0
2021-03-19,42,31,82.7
2021-03-20,35,40,85.7
2021-03-21,31,48,81.4
2021-03-22,47,36,79.6
2021-03-23,50,33,85.1
2021-03-24,71,39,94.5
2021-03-25,51,61,99.4
2021-03-26,36,62,97.5
2021-03-27,24,43,94.2
2021-03-28,39,39,96.7
2021-03-29,37,34,93.6
2021-03-30,19,38,84.2
2021-03-31,32,34,72.3
2021-04-01,25,28,64.4
2021-04-02,12,27,57.2
2021-04-03,19,27,55.6
2021-04-04,12,14,47.4
2021-04-05,13,18,40.1
2021-04-06,23,15,41.3
2021-04-07,36,17,42.6
2021-04-08,28,25,43.5
2021-04-09,16,0,44.6
2021-04-10,20,18,45.0
2021-04-11,8,15,43.7
2021-04-12,19,19,45.6
2021-04-13,18,13,44.1
2021-04-14,16,16,38.0
2021-04-15,18,22,34.9
2021-04-16,16,15,35.0
2021-04-17,18,13,34.4
2021-04-18,20,19,38.0
2021-04-19,19,33,38.0
2021-04-20,16,29,37.4
2021-04-21,21,10,38.9
2021-04-22,18,20,38.9
2021-04-23,14,16,38.3
2021-04-24,6,19,34.6
2021-04-25,6,10,30.4
2021-04-26,17,7,29.8
2021-04-27,2,9,25.5
2021-04-28,14,15,23.4
2021-04-29,17,11,23.1
2021-04-30,10,10,21.9
2021-05-01,6,12,21.9
2021-05-02,9,11,22.8
2021-05-03,10,13,20.7
2021-05-04,13,10,24.0
2021-05-05,8,11,22.1
2021-05-06,14,9,21.3
2021-05-07,10,16,21.2
2021-05-08,7,9,21.6
2021-05-09,12,10,22.5
2021-05-10,10,12,22.4
2021-05-11,8,15,21.0
2021-05-12,15,11,23.1
2021-05-13,9,16,21.6
2021-05-14,9,9,21.3
2021-05-15,7,13,21.2
2021-05-16,4,5,18.9
2021-05-17,11,7,19.2
2021-05-18,12,0,20.3
2021-05-19,10,4,18.9
2021-05-20,10,19,19.1
2021-05-21,8,11,18.9
2021-05-22,8,9,19.2
2021-05-23,1,6,18.2
2021-05-24,12,1,18.5
2021-05-25,15,13,19.5
2021-05-26,12,6,20.0
2021-05-27,3,18,18.0
2021-05-28,7,12,17.6
2021-05-29,14,5,19.4
2021-05-30,12,8,22.8
2021-05-31,11,8,22.5
2021-06-01,30,15,27.0
2021-06-02,18,19,28.9
2021-06-03,24,26,35.2
2021-06-04,16,13,38.0
2021-06-05,18,24,39.2
2021-06-06,19,13,41.3
2021-06-07,17,21,43.2
2021-06-08,25,18,41.7
2021-06-09,19,20,42.0
2021-06-10,31,22,44.1
2021-06-11,19,26,44.9
2021-06-12,13,21,43.5
2021-06-13,21,21,44.1
2021-06-14,28,22,47.4
2021-06-15,36,19,50.7
2021-06-16,29,27,53.7
2021-06-17,32,34,54.1
2021-06-18,30,29,57.5
2021-06-19,36,26,64.4
2021-06-20,36,29,69.0
