date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-26,1,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,1,0,0.3
2020-03-04,1,0,0.7
2020-03-05,1,0,1.1
2020-03-06,5,0,2.9
2020-03-07,2,0,3.7
2020-03-08,1,0,4.0
2020-03-09,6,0,6.3
2020-03-10,6,0,8.2
2020-03-11,14,0,13.0
2020-03-12,14,0,17.8
2020-03-13,7,0,18.6
2020-03-14,9,0,21.1
2020-03-15,5,0,22.7
2020-03-16,14,0,25.5
2020-03-17,11,0,27.4
2020-03-18,9,0,25.6
2020-03-19,9,0,23.7
2020-03-20,14,0,26.3
2020-03-21,12,0,27.4
2020-03-22,13,0,30.3
2020-03-23,22,0,33.4
2020-03-24,16,0,35.2
2020-03-25,26,0,41.5
2020-03-26,21,0,45.9
2020-03-27,13,0,45.6
2020-03-28,20,0,48.6
2020-03-29,17,0,50.1
2020-03-30,35,0,54.8
2020-03-31,12,0,53.4
2020-04-01,18,0,50.4
2020-04-02,17,0,49.0
2020-04-03,26,0,53.7
2020-04-04,17,0,52.6
2020-04-05,17,0,52.6
2020-04-06,11,0,43.8
2020-04-07,16,0,45.2
2020-04-08,14,0,43.7
2020-04-09,19,0,44.4
2020-04-10,9,0,38.2
2020-04-11,11,0,35.9
2020-04-12,9,0,33.0
2020-04-13,10,0,32.6
2020-04-14,14,0,31.9
2020-04-15,15,0,32.2
2020-04-16,10,0,28.9
2020-04-17,8,15,28.5
2020-04-18,3,19,25.6
2020-04-19,4,7,23.7
2020-04-20,4,4,21.5
2020-04-21,3,8,17.4
2020-04-22,2,4,12.6
2020-04-23,7,3,11.5
2020-04-24,7,2,11.1
2020-04-25,4,1,11.5
2020-04-26,5,5,11.8
2020-04-27,10,5,14.1
2020-04-28,6,2,15.2
2020-04-29,8,3,17.4
2020-04-30,20,4,22.3
2020-05-01,5,4,21.5
2020-05-02,4,5,21.5
2020-05-03,0,4,19.7
2020-05-04,3,11,17.0
2020-05-05,3,13,15.9
2020-05-06,3,2,14.1
2020-05-07,3,3,7.7
2020-05-08,3,2,7.0
2020-05-09,5,1,7.4
2020-05-10,3,0,8.5
2020-05-11,2,2,8.2
2020-05-12,2,0,7.8
2020-05-13,4,2,8.2
2020-05-14,5,1,8.9
2020-05-15,2,1,8.6
2020-05-16,0,0,6.7
2020-05-17,1,5,5.9
2020-05-18,1,0,5.5
2020-05-19,1,0,5.2
2020-05-20,5,0,5.5
2020-05-21,3,1,4.8
2020-05-22,1,2,4.4
2020-05-23,2,1,5.2
2020-05-24,1,1,5.2
2020-05-25,0,3,4.8
2020-05-26,1,1,4.8
2020-05-27,2,0,3.7
2020-05-28,2,0,3.4
2020-05-29,0,1,3.0
2020-05-30,0,2,2.2
2020-05-31,1,0,2.3
2020-06-01,0,1,2.3
2020-06-02,1,0,2.2
2020-06-03,3,1,2.6
2020-06-04,0,1,1.8
2020-06-05,2,3,2.6
2020-06-06,3,0,3.7
2020-06-07,0,3,3.3
2020-06-08,4,0,4.8
2020-06-09,1,2,4.8
2020-06-10,1,2,4.1
2020-06-11,2,1,4.9
2020-06-12,3,2,5.2
2020-06-13,1,2,4.4
2020-06-14,1,0,4.8
2020-06-15,5,3,5.2
2020-06-16,2,0,5.6
2020-06-17,0,0,5.2
2020-06-18,2,1,5.1
2020-06-19,0,3,4.0
2020-06-20,1,1,4.1
2020-06-21,2,0,4.5
2020-06-22,0,2,2.6
2020-06-23,2,1,2.6
2020-06-24,2,4,3.3
2020-06-25,1,3,3.0
2020-06-26,3,8,4.1
2020-06-27,0,5,3.7
2020-06-28,0,0,2.9
2020-06-29,4,0,4.4
2020-06-30,0,0,3.7
2020-07-01,0,74,3.0
2020-07-02,1,1,3.0
2020-07-03,1,0,2.2
2020-07-04,1,0,2.6
2020-07-05,0,2,2.6
2020-07-06,0,0,1.1
2020-07-07,2,0,1.9
2020-07-08,2,3,2.6
2020-07-09,4,0,3.7
2020-07-10,2,1,4.1
2020-07-11,0,3,3.7
2020-07-12,3,1,4.8
2020-07-13,1,2,5.2
2020-07-14,0,0,4.4
2020-07-15,2,0,4.4
2020-07-16,3,5,4.1
2020-07-17,1,0,3.7
2020-07-18,0,8,3.7
2020-07-19,2,4,3.4
2020-07-20,2,0,3.7
2020-07-21,1,4,4.1
2020-07-22,1,0,3.7
2020-07-23,2,3,3.3
2020-07-24,4,0,4.5
2020-07-25,1,0,4.8
2020-07-26,2,1,4.8
2020-07-27,4,4,5.6
2020-07-28,1,3,5.5
2020-07-29,7,3,7.8
2020-07-30,3,3,8.1
2020-07-31,3,3,7.8
2020-08-01,1,1,7.8
2020-08-02,3,1,8.1
2020-08-03,3,4,7.7
2020-08-04,4,2,8.9
2020-08-05,7,1,8.9
2020-08-06,7,6,10.4
2020-08-07,5,5,11.1
2020-08-08,2,10,11.5
2020-08-09,3,6,11.5
2020-08-10,5,1,12.3
2020-08-11,6,5,13.0
2020-08-12,2,7,11.1
2020-08-13,1,0,8.9
2020-08-14,4,6,8.5
2020-08-15,1,5,8.2
2020-08-16,3,0,8.2
2020-08-17,3,0,7.4
2020-08-18,10,7,8.9
2020-08-19,4,2,9.7
2020-08-20,9,8,12.6
2020-08-21,4,2,12.6
2020-08-22,3,7,13.3
2020-08-23,5,7,14.1
2020-08-24,9,1,16.3
2020-08-25,9,5,15.9
2020-08-26,5,4,16.3
2020-08-27,6,10,15.2
2020-08-28,9,4,17.0
2020-08-29,2,3,16.7
2020-08-30,0,9,14.8
2020-08-31,6,3,13.7
2020-09-01,11,3,14.5
2020-09-02,11,7,16.7
2020-09-03,8,7,17.4
2020-09-04,16,8,20.0
2020-09-05,0,4,19.2
2020-09-06,4,13,20.7
2020-09-07,14,6,23.7
2020-09-08,7,6,22.2
2020-09-09,7,11,20.7
2020-09-10,11,8,21.9
2020-09-11,4,11,17.5
2020-09-12,2,9,18.2
2020-09-13,2,5,17.4
2020-09-14,8,8,15.2
2020-09-15,11,2,16.7
2020-09-16,11,5,18.2
2020-09-17,7,7,16.7
2020-09-18,14,6,20.3
2020-09-19,4,11,21.1
2020-09-20,7,6,23.0
2020-09-21,5,6,21.9
2020-09-22,16,10,23.7
2020-09-23,12,10,24.1
2020-09-24,11,13,25.5
2020-09-25,11,15,24.5
2020-09-26,12,8,27.5
2020-09-27,8,10,27.8
2020-09-28,19,8,33.0
2020-09-29,26,12,36.7
2020-09-30,28,10,42.6
2020-10-01,26,13,48.2
2020-10-02,31,15,55.6
2020-10-03,26,30,60.7
2020-10-04,21,39,65.6
2020-10-05,30,21,69.6
2020-10-06,40,22,74.9
2020-10-07,52,44,83.7
2020-10-08,47,37,91.5
2020-10-09,38,30,94.1
2020-10-10,18,37,91.2
2020-10-11,17,22,89.7
2020-10-12,41,17,93.8
2020-10-13,40,33,93.7
2020-10-14,30,44,85.6
2020-10-15,54,36,88.2
2020-10-16,51,43,93.0
2020-10-17,27,32,96.3
2020-10-18,38,57,104.1
2020-10-19,70,46,114.9
2020-10-20,51,43,119.0
2020-10-21,73,71,134.9
2020-10-22,64,38,138.6
2020-10-23,72,52,146.4
2020-10-24,37,66,150.1
2020-10-25,38,60,150.1
2020-10-26,62,52,147.1
2020-10-27,77,56,156.7
2020-10-28,48,69,147.5
2020-10-29,69,65,149.4
2020-10-30,75,67,150.5
2020-10-31,70,37,162.7
2020-11-01,33,85,160.8
2020-11-02,84,50,169.0
2020-11-03,72,61,167.1
2020-11-04,49,71,167.5
2020-11-05,48,50,159.7
2020-11-06,47,48,149.3
2020-11-07,38,42,137.5
2020-11-08,46,47,142.3
2020-11-09,70,49,137.1
2020-11-10,74,30,137.9
2020-11-11,69,58,145.3
2020-11-12,69,98,153.0
2020-11-13,61,54,158.3
2020-11-14,34,59,156.7
2020-11-15,39,62,154.2
2020-11-16,65,106,152.3
2020-11-17,49,46,143.0
2020-11-18,42,42,133.0
2020-11-19,44,53,123.8
2020-11-20,38,30,115.2
2020-11-21,27,41,112.7
2020-11-22,34,68,110.8
2020-11-23,46,32,103.8
2020-11-24,29,30,96.4
2020-11-25,36,46,94.1
2020-11-26,45,26,94.5
2020-11-27,29,35,91.2
2020-11-28,28,49,91.5
2020-11-29,22,30,87.1
2020-11-30,42,30,85.6
2020-12-01,43,35,90.8
2020-12-02,31,21,89.0
2020-12-03,43,48,88.2
2020-12-04,31,46,88.9
