date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-14,2,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,0,0,0.0
2020-03-18,1,0,0.5
2020-03-19,1,0,1.0
2020-03-20,5,0,3.4
2020-03-21,3,0,4.9
2020-03-22,4,0,6.9
2020-03-23,3,0,8.4
2020-03-24,2,0,9.4
2020-03-25,1,0,9.4
2020-03-26,4,0,10.8
2020-03-27,6,0,11.4
2020-03-28,5,0,12.4
2020-03-29,3,0,11.8
2020-03-30,6,0,13.3
2020-03-31,4,0,14.3
2020-04-01,6,0,16.7
2020-04-02,5,0,17.3
2020-04-03,10,0,19.2
2020-04-04,4,0,18.7
2020-04-05,6,0,20.3
2020-04-06,8,0,21.2
2020-04-07,9,0,23.7
2020-04-08,7,0,24.2
2020-04-09,2,0,22.7
2020-04-10,4,0,19.8
2020-04-11,4,0,19.8
2020-04-12,9,0,21.2
2020-04-13,8,0,21.2
2020-04-14,4,0,18.7
2020-04-15,5,0,17.8
2020-04-16,12,0,22.7
2020-04-17,12,7,26.6
2020-04-18,2,7,25.6
2020-04-19,5,9,23.7
2020-04-20,11,1,25.2
2020-04-21,18,10,32.1
2020-04-22,17,8,38.0
2020-04-23,19,16,41.5
2020-04-24,7,14,39.0
2020-04-25,8,3,42.0
2020-04-26,33,1,55.8
2020-04-27,32,1,66.1
2020-04-28,38,26,76.0
2020-04-29,30,7,82.4
2020-04-30,40,1,92.7
2020-05-01,43,22,110.6
2020-05-02,18,5,115.5
2020-05-03,21,6,109.5
2020-05-04,17,0,102.2
2020-05-05,24,8,95.2
2020-05-06,12,13,86.4
2020-05-07,56,6,94.3
2020-05-08,16,10,80.9
2020-05-09,23,1,83.4
2020-05-10,17,0,81.4
2020-05-11,31,0,88.3
2020-05-12,19,0,85.9
2020-05-13,29,46,94.2
2020-05-14,20,14,76.5
2020-05-15,21,8,79.0
2020-05-16,15,5,75.0
2020-05-17,14,0,73.6
2020-05-18,18,1,67.2
2020-05-19,18,2,66.6
2020-05-20,21,11,62.7
2020-05-21,17,2,61.2
2020-05-22,20,5,60.7
2020-05-23,24,5,65.1
2020-05-24,7,0,61.7
2020-05-25,12,2,58.7
2020-05-26,9,10,54.3
2020-05-27,10,12,48.9
2020-05-28,15,6,47.9
2020-05-29,13,0,44.4
2020-05-30,8,4,36.5
2020-05-31,7,2,36.5
2020-06-01,11,0,36.0
2020-06-02,3,4,33.1
2020-06-03,5,1,30.6
2020-06-04,6,4,26.1
2020-06-05,19,1,29.1
2020-06-06,23,2,36.6
2020-06-07,5,0,35.5
2020-06-08,10,0,35.1
2020-06-09,9,60,38.0
2020-06-10,13,0,41.9
2020-06-11,10,0,44.0
2020-06-12,2,2,35.5
2020-06-13,4,7,26.1
2020-06-14,5,0,26.2
2020-06-15,8,0,25.1
2020-06-16,12,3,26.7
2020-06-17,8,4,24.2
2020-06-18,11,2,24.6
2020-06-19,8,2,27.7
2020-06-20,5,4,28.1
2020-06-21,4,1,27.6
2020-06-22,13,0,30.1
2020-06-23,6,0,27.1
2020-06-24,7,0,26.6
2020-06-25,6,2,24.2
2020-06-26,9,2,24.7
2020-06-27,1,0,22.7
2020-06-28,4,0,22.7
2020-06-29,2,0,17.3
2020-06-30,4,18,16.3
2020-07-01,6,754,15.8
2020-07-02,5,2,15.3
2020-07-03,6,10,13.8
2020-07-04,2,3,14.4
2020-07-05,14,7,19.3
2020-07-06,8,2,22.2
2020-07-07,9,17,24.7
2020-07-08,13,5,28.2
2020-07-09,11,14,31.1
2020-07-10,10,2,33.0
2020-07-11,11,10,37.5
2020-07-12,8,14,34.5
2020-07-13,4,7,32.6
2020-07-14,11,6,33.5
2020-07-15,3,8,28.6
2020-07-16,13,10,29.6
2020-07-17,6,3,27.7
2020-07-18,4,9,24.1
2020-07-19,2,9,21.2
2020-07-20,9,3,23.7
2020-07-21,6,3,21.2
2020-07-22,3,4,21.2
2020-07-23,5,9,17.3
2020-07-24,10,6,19.2
2020-07-25,4,2,19.3
2020-07-26,4,13,20.3
2020-07-27,10,5,20.7
2020-07-28,14,6,24.7
2020-07-29,8,4,27.2
2020-07-30,7,6,28.1
2020-07-31,1,14,23.7
2020-08-01,0,7,21.7
2020-08-02,6,1,22.7
2020-08-03,4,9,19.7
2020-08-04,1,7,13.3
2020-08-05,6,3,12.3
2020-08-06,6,4,11.9
2020-08-07,9,3,15.8
2020-08-08,6,5,18.8
2020-08-09,2,7,16.8
2020-08-10,8,4,18.8
2020-08-11,3,8,19.8
2020-08-12,6,6,19.7
2020-08-13,0,0,16.7
2020-08-14,6,9,15.3
2020-08-15,5,1,14.8
2020-08-16,2,3,14.8
2020-08-17,8,5,14.8
2020-08-18,1,2,13.8
2020-08-19,4,4,12.9
2020-08-20,4,2,14.8
2020-08-21,9,9,16.3
2020-08-22,7,2,17.2
2020-08-23,6,10,19.2
2020-08-24,8,7,19.3
2020-08-25,7,4,22.2
2020-08-26,2,7,21.2
2020-08-27,4,6,21.3
2020-08-28,6,6,19.7
2020-08-29,9,8,20.8
2020-08-30,6,3,20.7
2020-08-31,4,9,18.7
2020-09-01,11,7,20.7
2020-09-02,7,3,23.2
2020-09-03,15,9,28.6
2020-09-04,3,3,27.2
2020-09-05,7,12,26.1
2020-09-06,5,6,25.7
2020-09-07,23,10,35.0
2020-09-08,6,5,32.6
2020-09-09,12,15,35.0
2020-09-10,10,9,32.6
2020-09-11,2,9,32.1
2020-09-12,4,10,30.6
2020-09-13,3,8,29.6
2020-09-14,1,4,18.8
2020-09-15,3,2,17.3
2020-09-16,6,4,14.3
2020-09-17,6,2,12.3
2020-09-18,14,3,18.2
2020-09-19,3,7,17.8
2020-09-20,9,4,20.7
2020-09-21,10,6,25.2
2020-09-22,7,8,27.1
2020-09-23,5,11,26.7
2020-09-24,7,14,27.1
2020-09-25,15,6,27.6
2020-09-26,8,8,30.1
2020-09-27,9,4,30.1
2020-09-28,13,7,31.6
2020-09-29,14,12,35.1
2020-09-30,19,5,41.9
2020-10-01,16,10,46.4
2020-10-02,20,7,48.9
