date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,1,0,0.7
2020-03-13,0,0,0.7
2020-03-14,0,0,0.7
2020-03-15,2,0,2
2020-03-16,0,0,2
2020-03-17,0,0,2
2020-03-18,2,0,3.3
2020-03-19,0,0,2.6
2020-03-20,1,0,3.3
2020-03-21,3,0,5.3
2020-03-22,2,0,5.3
2020-03-23,1,0,6
2020-03-24,4,0,8.6
2020-03-25,10,0,13.9
2020-03-26,7,0,18.6
2020-03-27,7,0,22.5
2020-03-28,10,0,27.1
2020-03-29,12,0,33.8
2020-03-30,22,0,47.7
2020-03-31,13,0,53.7
2020-04-01,18,0,59.0
2020-04-02,22,0,68.9
2020-04-03,21,0,78.2
2020-04-04,14,0,80.9
2020-04-05,14,0,82.2
2020-04-06,31,0,88.1
2020-04-07,15,0,89.5
2020-04-08,20,0,90.8
2020-04-09,29,0,95.5
2020-04-10,12,0,89.5
2020-04-11,15,0,90.2
2020-04-12,8,0,86.2
2020-04-13,18,0,77.6
2020-04-14,8,0,72.9
2020-04-15,25,0,76.3
2020-04-16,26,0,74.2
2020-04-17,26,18,83.5
2020-04-18,13,5,82.2
2020-04-19,17,28,88.1
2020-04-20,25,12,92.8
2020-04-21,14,23,96.8
2020-04-22,23,20,95.4
2020-04-23,24,0,94.1
2020-04-24,18,31,88.9
2020-04-25,17,8,91.4
2020-04-26,11,16,87.5
2020-04-27,17,1,82.2
2020-04-28,23,15,88.1
2020-04-29,26,5,90.2
2020-04-30,22,16,88.9
2020-05-01,23,0,92.1
2020-05-02,10,24,87.5
2020-05-03,10,12,86.9
2020-05-04,8,12,80.9
2020-05-05,19,5,78.3
2020-05-06,22,1,75.5
2020-05-07,11,7,68.2
2020-05-08,7,15,57.7
2020-05-09,6,6,55.0
2020-05-10,7,7,53
2020-05-11,16,1,58.3
2020-05-12,6,0,49.7
2020-05-13,5,8,38.5
2020-05-14,6,8,35.2
2020-05-15,3,3,32.4
2020-05-16,5,2,31.9
2020-05-17,4,1,29.8
2020-05-18,7,2,23.9
2020-05-19,9,0,25.8
2020-05-20,7,12,27.2
2020-05-21,7,0,27.8
2020-05-22,5,0,29.2
2020-05-23,1,5,26.5
2020-05-24,4,6,26.5
2020-05-25,1,1,22.5
2020-05-26,4,1,19.2
2020-05-27,5,2,17.9
2020-05-28,3,0,15.2
2020-05-29,7,7,16.6
2020-05-30,1,1,16.5
2020-05-31,5,0,17.3
2020-06-01,1,1,17.2
2020-06-02,2,2,15.9
2020-06-03,1,2,13.2
2020-06-04,6,3,15.3
2020-06-05,1,0,11.3
2020-06-06,1,0,11.3
2020-06-07,0,2,7.9
2020-06-08,1,0,8.0
2020-06-09,4,8,9.3
2020-06-10,1,0,9.3
2020-06-11,4,8,7.9
2020-06-12,2,0,8.6
2020-06-13,1,6,8.6
2020-06-14,0,0,8.6
2020-06-15,3,3,9.9
2020-06-16,3,0,9.3
2020-06-17,0,1,8.6
2020-06-18,1,2,6.7
2020-06-19,0,0,5.3
2020-06-20,1,7,5.3
2020-06-21,1,0,6.0
2020-06-22,8,1,9.3
2020-06-23,4,0,10.0
