date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,1,0,0.3
2020-03-07,0,0,0.3
2020-03-08,1,0,0.6
2020-03-09,1,0,0.9
2020-03-10,5,0,2.4
2020-03-11,2,0,3
2020-03-12,6,0,4.8
2020-03-13,4,0,5.7
2020-03-14,7,0,7.8
2020-03-15,2,0,8.1
2020-03-16,2,0,8.4
2020-03-17,12,0,10.5
2020-03-18,7,0,12
2020-03-19,15,0,14.7
2020-03-20,20,0,19.5
2020-03-21,8,0,19.8
2020-03-22,18,0,24.6
2020-03-23,22,0,30.5
2020-03-24,24,0,34.1
2020-03-25,21,0,38.3
2020-03-26,16,0,38.6
2020-03-27,16,0,37.4
2020-03-28,20,0,41.0
2020-03-29,9,0,38.3
2020-03-30,25,0,39.3
2020-03-31,26,0,39.9
2020-04-01,27,0,41.7
2020-04-02,29,0,45.6
2020-04-03,26,0,48.5
2020-04-04,19,0,48.2
2020-04-05,14,0,49.7
2020-04-06,34,0,52.4
2020-04-07,32,0,54.2
2020-04-08,31,0,55.4
2020-04-09,30,0,55.7
2020-04-10,24,0,55.2
2020-04-11,22,0,56.1
2020-04-12,22,0,58.5
2020-04-13,14,0,52.4
2020-04-14,37,0,53.9
2020-04-15,15,0,49.1
2020-04-16,22,0,46.7
2020-04-17,36,46,50.3
2020-04-18,17,51,48.8
2020-04-19,13,5,46.1
2020-04-20,31,21,51.3
2020-04-21,24,20,47.4
2020-04-22,26,10,50.7
2020-04-23,26,32,51.8
2020-04-24,26,8,48.8
2020-04-25,27,12,51.8
2020-04-26,17,6,53.0
2020-04-27,13,28,47.6
2020-04-28,13,13,44.3
2020-04-29,15,2,41.0
2020-04-30,11,3,36.6
2020-05-01,12,4,32.4
2020-05-02,10,2,27.3
2020-05-03,4,5,23.4
2020-05-04,9,3,22.2
2020-05-05,9,3,21.0
2020-05-06,5,4,18.0
2020-05-07,2,2,15.3
2020-05-08,7,2,13.8
2020-05-09,1,1,11.1
2020-05-10,2,2,10.5
2020-05-11,6,1,9.6
2020-05-12,8,0,9.3
2020-05-13,7,0,9.9
2020-05-14,4,2,10.5
2020-05-15,4,2,9.6
2020-05-16,7,7,11.4
2020-05-17,10,2,13.7
2020-05-18,6,2,13.7
2020-05-19,8,1,13.7
2020-05-20,3,3,12.5
2020-05-21,2,4,11.9
2020-05-22,2,1,11.3
2020-05-23,1,0,9.5
2020-05-24,3,0,7.5
2020-05-25,2,1,6.3
2020-05-26,3,0,4.8
2020-05-27,3,2,4.8
2020-05-28,1,0,4.5
2020-05-29,3,1,4.8
2020-05-30,0,2,4.5
2020-05-31,1,0,3.9
2020-06-01,0,2,3.3
2020-06-02,3,0,3.3
2020-06-03,1,1,2.7
2020-06-04,2,0,3.0
2020-06-05,0,3,2.1
2020-06-06,2,1,2.7
2020-06-07,0,0,2.4
2020-06-08,0,0,2.4
2020-06-09,3,0,2.4
2020-06-10,0,1,2.1
2020-06-11,2,0,2.1
2020-06-12,4,1,3.3
2020-06-13,2,0,3.3
2020-06-14,1,0,3.6
2020-06-15,3,1,4.5
2020-06-16,3,0,4.5
2020-06-17,2,1,5.1
2020-06-18,0,1,4.5
2020-06-19,0,0,3.3
2020-06-20,1,0,3.0
2020-06-21,0,0,2.7
2020-06-22,1,0,2.1
