date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,1,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,1,0,0.5
2020-03-14,1,0,1.1
2020-03-15,0,0,1.1
2020-03-16,1,0,1.6
2020-03-17,1,0,2.2
2020-03-18,1,0,2.7
2020-03-19,2,0,3.9
2020-03-20,2,0,4.5
2020-03-21,5,0,6.7
2020-03-22,2,0,7.8
2020-03-23,6,0,10.6
2020-03-24,1,0,10.6
2020-03-25,1,0,10.6
2020-03-26,5,0,12.2
2020-03-27,9,0,16.1
2020-03-28,10,0,18.9
2020-03-29,5,0,20.6
2020-03-30,13,0,24.5
2020-03-31,6,0,27.3
2020-04-01,7,0,30.7
2020-04-02,16,0,36.8
2020-04-03,13,0,39.1
2020-04-04,8,0,37.9
2020-04-05,8,0,39.6
2020-04-06,15,0,40.7
2020-04-07,15,0,45.7
2020-04-08,8,0,46.3
2020-04-09,6,0,40.7
2020-04-10,8,0,37.9
2020-04-11,6,0,36.8
2020-04-12,7,0,36.2
2020-04-13,11,0,34.0
2020-04-14,11,0,31.8
2020-04-15,9,0,32.3
2020-04-16,13,0,36.2
2020-04-17,10,0,37.3
2020-04-18,12,0,40.7
2020-04-19,6,0,40.2
2020-04-20,13,0,41.3
2020-04-21,8,0,39.6
2020-04-22,7,0,38.5
2020-04-23,16,0,40.2
2020-04-24,11,0,40.7
2020-04-25,7,0,37.9
2020-04-26,6,0,37.9
2020-04-27,21,0,42.4
2020-04-28,15,0,46.2
2020-04-29,20,0,53.5
2020-04-30,14,0,52.4
2020-05-01,12,0,53.0
2020-05-02,7,0,53.0
2020-05-03,12,0,56.3
2020-05-04,15,0,52.9
2020-05-05,22,0,56.9
2020-05-06,7,0,49.6
2020-05-07,24,0,55.2
2020-05-08,10,0,54.0
2020-05-09,16,0,59.1
2020-05-10,15,0,60.7
2020-05-11,19,0,63.0
2020-05-12,14,0,58.5
2020-05-13,10,0,60.2
2020-05-14,4,0,49.0
2020-05-15,11,0,49.7
2020-05-16,12,0,47.3
2020-05-17,5,0,41.8
2020-05-18,10,0,36.8
2020-05-19,7,0,32.9
2020-05-20,4,0,29.5
2020-05-21,11,0,33.5
2020-05-22,4,0,29.5
2020-05-23,1,0,23.5
2020-05-24,0,0,20.7
2020-05-25,3,0,16.7
2020-05-26,9,0,17.8
2020-05-27,4,0,17.9
2020-05-28,2,0,12.8
2020-05-29,1,0,11.1
2020-05-30,1,0,11.1
2020-05-31,0,0,11.1
2020-06-01,1,0,10.1
2020-06-02,1,0,5.6
2020-06-03,0,0,3.3
2020-06-04,1,0,2.8
2020-06-05,0,0,2.3
2020-06-06,1,0,2.2
2020-06-07,0,0,2.2
2020-06-08,1,0,2.2
2020-06-09,0,0,1.7
2020-06-10,0,0,1.7
2020-06-11,0,0,1.1
2020-06-12,1,0,1.6
2020-06-13,0,0,1.1
2020-06-14,0,0,1.1
2020-06-15,0,0,0.5
2020-06-16,0,0,0.5
2020-06-17,1,0,1.1
2020-06-18,1,0,1.7
2020-06-19,1,0,1.7
2020-06-20,1,0,2.3
2020-06-21,0,0,2.3
2020-06-22,0,0,2.3
2020-06-23,0,0,2.3
2020-06-24,0,0,1.7
2020-06-25,0,0,1.1
2020-06-26,0,0,0.6
2020-06-27,0,0,0.0
2020-06-28,0,0,0.0
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,0,0,0.0
2020-07-02,0,0,0.0
2020-07-03,0,0,0.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,1,0,0.5
2020-07-07,1,0,1.1
2020-07-08,1,0,1.6
2020-07-09,0,0,1.6
2020-07-10,0,0,1.6
2020-07-11,0,0,1.6
2020-07-12,0,0,1.6
2020-07-13,3,0,2.8
2020-07-14,0,0,2.2
2020-07-15,0,0,1.7
2020-07-16,3,0,3.4
2020-07-17,3,0,5.1
2020-07-18,1,0,5.6
2020-07-19,0,0,5.6
2020-07-20,1,0,4.5
2020-07-21,0,0,4.5
2020-07-22,1,0,5.0
2020-07-23,0,0,3.3
2020-07-24,0,0,1.6
2020-07-25,0,0,1.1
2020-07-26,0,0,1.1
2020-07-27,2,0,1.7
2020-07-28,1,0,2.2
2020-07-29,0,0,1.7
2020-07-30,0,1,1.7
2020-07-31,0,0,1.7
2020-08-01,2,0,2.8
2020-08-02,1,0,3.4
2020-08-03,8,1,6.6
2020-08-04,0,5,6.1
2020-08-05,0,6,6.1
2020-08-06,1,0,6.7
2020-08-07,1,0,7.3
2020-08-08,0,0,6.2
2020-08-09,0,0,5.6
2020-08-10,0,0,1.2
2020-08-11,1,1,1.7
2020-08-12,0,1,1.7
2020-08-13,1,0,1.7
2020-08-14,0,0,1.1
2020-08-15,1,0,1.6
