date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,2,0,0.0
2020-03-11,1,0,0.8
2020-03-12,0,0,0.8
2020-03-13,1,0,1.5
2020-03-14,0,0,1.5
2020-03-15,0,0,1.5
2020-03-16,1,0,2.2
2020-03-17,2,0,3.6
2020-03-18,1,0,3.5
2020-03-19,1,0,4.3
2020-03-20,2,0,5.0
2020-03-21,3,0,7.1
2020-03-22,0,0,7.1
2020-03-23,1,0,7.2
2020-03-24,2,0,7.2
2020-03-25,2,0,7.9
2020-03-26,1,0,7.8
2020-03-27,6,0,10.7
2020-03-28,1,0,9.4
2020-03-29,5,0,12.9
2020-03-30,2,0,13.6
2020-03-31,3,0,14.3
2020-04-01,8,0,18.7
2020-04-02,6,0,22.3
2020-04-03,5,0,21.6
2020-04-04,3,0,22.9
2020-04-05,6,0,23.7
2020-04-06,4,0,25.1
2020-04-07,7,0,28.0
2020-04-08,5,0,25.8
2020-04-09,4,0,24.4
2020-04-10,8,0,26.5
2020-04-11,3,0,26.5
2020-04-12,11,0,30.1
2020-04-13,6,0,31.5
2020-04-14,7,0,31.6
2020-04-15,15,0,38.7
2020-04-16,6,0,40.1
2020-04-17,13,0,43.7
2020-04-18,4,0,44.5
2020-04-19,2,0,38.0
2020-04-20,3,0,35.9
2020-04-21,3,0,32.9
2020-04-22,4,0,25.1
2020-04-23,3,0,23.0
2020-04-24,7,0,18.7
2020-04-25,2,0,17.2
2020-04-26,5,0,19.4
2020-04-27,7,0,22.2
2020-04-28,6,0,24.4
2020-04-29,15,0,32.3
2020-04-30,11,0,38.0
2020-05-01,11,0,40.9
2020-05-02,8,0,45.2
2020-05-03,3,0,43.8
2020-05-04,8,0,44.5
2020-05-05,4,0,43.1
2020-05-06,5,0,35.8
2020-05-07,3,0,30.1
2020-05-08,4,0,25.1
2020-05-09,2,0,20.8
2020-05-10,4,0,21.5
2020-05-11,8,0,21.5
2020-05-12,7,0,23.6
2020-05-13,4,0,23.0
2020-05-14,4,0,23.7
2020-05-15,3,0,22.9
2020-05-16,5,0,25.1
2020-05-17,2,0,23.6
2020-05-18,2,0,19.4
2020-05-19,6,0,18.7
2020-05-20,2,0,17.2
2020-05-21,2,0,15.7
2020-05-22,1,0,14.4
2020-05-23,0,0,10.8
2020-05-24,1,0,10.1
2020-05-25,5,0,12.2
2020-05-26,6,0,12.2
2020-05-27,2,0,12.2
2020-05-28,1,0,11.5
2020-05-29,1,0,11.4
2020-05-30,0,0,11.4
2020-05-31,0,0,10.7
2020-06-01,2,0,8.6
2020-06-02,1,0,5.0
2020-06-03,1,0,4.3
2020-06-04,0,0,3.6
2020-06-05,0,0,2.9
2020-06-06,0,0,2.9
2020-06-07,0,0,2.9
2020-06-08,0,0,1.4
2020-06-09,2,0,2.1
2020-06-10,3,0,3.6
2020-06-11,1,0,4.3
2020-06-12,4,0,7.2
2020-06-13,1,0,7.9
2020-06-14,3,0,10.0
2020-06-15,1,0,10.8
2020-06-16,0,0,9.4
2020-06-17,1,0,7.9
2020-06-18,5,0,10.8
2020-06-19,2,0,9.3
2020-06-20,1,0,9.3
2020-06-21,0,0,7.2
2020-06-22,1,0,7.1
2020-06-23,1,0,7.8
2020-06-24,1,0,7.9
2020-06-25,0,0,4.3
2020-06-26,0,0,2.9
2020-06-27,1,0,2.9
2020-06-28,0,0,2.9
2020-06-29,0,0,2.2
2020-06-30,2,0,2.9
2020-07-01,1,0,2.8
2020-07-02,0,0,2.8
2020-07-03,0,0,2.8
2020-07-04,0,0,2.1
2020-07-05,1,0,2.8
2020-07-06,2,0,4.3
2020-07-07,2,0,4.3
2020-07-08,1,0,4.3
2020-07-09,1,0,5.0
2020-07-10,0,0,5.0
2020-07-11,1,0,5.8
2020-07-12,1,0,5.8
2020-07-13,1,0,5.0
2020-07-14,0,0,3.6
2020-07-15,0,0,2.9
2020-07-16,1,0,2.9
2020-07-17,0,0,2.9
2020-07-18,3,0,4.3
2020-07-19,0,0,3.6
2020-07-20,0,0,2.9
2020-07-21,2,0,4.3
2020-07-22,1,0,5.0
2020-07-23,3,0,6.5
2020-07-24,1,0,7.2
2020-07-25,2,0,6.4
2020-07-26,0,0,6.4
2020-07-27,1,0,7.1
2020-07-28,3,0,7.9
2020-07-29,1,0,7.9
2020-07-30,1,0,6.4
2020-07-31,4,0,8.6
2020-08-01,3,0,9.3
2020-08-02,0,0,9.3
2020-08-03,4,0,11.5
2020-08-04,0,0,9.3
2020-08-05,2,0,10.0
2020-08-06,2,0,10.8
2020-08-07,2,0,9.3
2020-08-08,11,0,15.1
2020-08-09,8,0,20.8
2020-08-10,3,0,20.1
2020-08-11,6,0,24.4
2020-08-12,10,0,30.2
2020-08-13,14,0,38.7
2020-08-14,18,0,50.2
2020-08-15,5,0,45.9
2020-08-16,6,0,44.5
2020-08-17,8,0,48.0
2020-08-18,10,0,50.9
2020-08-19,6,10,48.0
2020-08-20,20,12,52.4
2020-08-21,33,1,63.1
2020-08-22,5,0,63.1
2020-08-23,8,0,64.5
2020-08-24,7,63,63.9
2020-08-25,6,2,61.0
2020-08-26,7,9,61.7
2020-08-27,3,5,49.4
2020-08-28,18,4,38.7
2020-08-29,3,0,37.3
2020-08-30,0,0,31.6
2020-08-31,10,0,33.7
2020-09-01,3,22,31.5
2020-09-02,4,12,29.4
2020-09-03,29,6,48.1
2020-09-04,11,7,43.1
2020-09-05,10,0,48.0
2020-09-06,4,0,50.9
2020-09-07,4,37,46.6
2020-09-08,1,12,45.2
2020-09-09,8,3,48.0
2020-09-10,3,7,29.4
2020-09-11,2,3,22.9
2020-09-12,11,0,23.7
2020-09-13,8,0,26.6
2020-09-14,11,18,31.5
2020-09-15,7,7,35.9
