date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-19,1,0,0.0
2020-03-20,0,0,0.0
2020-03-21,2,0,1.9
2020-03-22,1,0,2.8
2020-03-23,0,0,2.8
2020-03-24,3,0,5.6
2020-03-25,6,0,11.1
2020-03-26,3,0,13.9
2020-03-27,7,0,20.4
2020-03-28,3,0,21.3
2020-03-29,3,0,23.2
2020-03-30,12,0,34.3
2020-03-31,3,0,34.3
2020-04-01,3,0,31.6
2020-04-02,13,0,40.8
2020-04-03,5,0,38.9
2020-04-04,7,0,42.6
2020-04-05,1,0,40.8
2020-04-06,14,0,42.6
2020-04-07,7,0,46.3
2020-04-08,7,0,50.0
2020-04-09,10,0,47.3
2020-04-10,8,0,50.1
2020-04-11,5,0,48.2
2020-04-12,2,0,49.1
2020-04-13,2,0,38.0
2020-04-14,7,0,38.0
2020-04-15,8,0,38.9
2020-04-16,2,0,31.5
2020-04-17,9,0,32.4
2020-04-18,3,0,30.6
2020-04-19,5,0,33.3
2020-04-20,8,0,39.0
2020-04-21,4,0,36.2
2020-04-22,5,0,33.4
2020-04-23,6,0,37.1
2020-04-24,1,0,29.7
2020-04-25,0,0,26.9
2020-04-26,2,0,24.1
2020-04-27,14,0,29.6
2020-04-28,1,0,26.8
2020-04-29,6,0,27.8
2020-04-30,3,0,25.0
2020-05-01,2,0,25.9
2020-05-02,1,0,26.9
2020-05-03,2,0,26.9
2020-05-04,2,0,15.8
2020-05-05,6,0,20.4
2020-05-06,4,0,18.5
2020-05-07,2,0,17.6
2020-05-08,1,0,16.7
2020-05-09,2,0,17.6
2020-05-10,3,0,18.5
2020-05-11,2,0,18.5
2020-05-12,3,0,15.8
2020-05-13,3,0,14.9
2020-05-14,4,0,16.7
2020-05-15,1,0,16.7
2020-05-16,0,0,14.8
2020-05-17,0,0,12.1
2020-05-18,2,0,12.0
2020-05-19,3,0,12.0
2020-05-20,4,0,12.9
2020-05-21,2,0,11.1
2020-05-22,0,0,10.2
2020-05-23,1,0,11.1
2020-05-24,2,0,13.0
2020-05-25,2,0,13.0
2020-05-26,4,0,13.9
2020-05-27,2,0,12.1
2020-05-28,0,0,10.2
2020-05-29,0,0,10.2
2020-05-30,0,0,9.3
2020-05-31,1,0,8.3
2020-06-01,0,0,6.5
2020-06-02,0,0,2.8
2020-06-03,0,0,0.9
2020-06-04,0,0,0.9
2020-06-05,0,0,0.9
2020-06-06,0,0,0.9
2020-06-07,0,0,0.0
2020-06-08,0,0,0.0
2020-06-09,0,0,0.0
2020-06-10,0,0,0.0
2020-06-11,0,0,0.0
2020-06-12,1,0,0.9
2020-06-13,0,0,0.9
2020-06-14,0,0,0.9
2020-06-15,1,0,1.9
2020-06-16,0,0,1.9
2020-06-17,0,0,1.9
2020-06-18,1,0,2.8
2020-06-19,0,0,1.9
2020-06-20,0,0,1.9
2020-06-21,0,0,1.9
2020-06-22,0,0,0.9
2020-06-23,1,0,1.8
2020-06-24,0,0,1.8
2020-06-25,0,0,0.9
2020-06-26,0,0,0.9
2020-06-27,0,0,0.9
