date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,1,0
2020-03-17,0,0
2020-03-18,2,0
2020-03-19,1,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,1,0
2020-03-28,3,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,0,0
2020-04-02,1,0
2020-04-03,6,0
2020-04-04,4,0
2020-04-05,0,0
2020-04-06,6,0
2020-04-07,7,0
2020-04-08,5,0
2020-04-09,14,0
2020-04-10,6,0
2020-04-11,9,0
2020-04-12,7,0
2020-04-13,27,0
2020-04-14,12,0
2020-04-15,6,0
2020-04-16,12,0
2020-04-17,7,0
2020-04-18,17,0
2020-04-19,6,0
2020-04-20,10,0
2020-04-21,6,0
2020-04-22,6,0
2020-04-23,9,0
2020-04-24,8,0
2020-04-25,6,0
2020-04-26,9,0
2020-04-27,7,0
2020-04-28,5,0
2020-04-29,5,0
2020-04-30,5,0
2020-05-01,4,0
2020-05-02,3,0
2020-05-03,0,0
2020-05-04,9,0
2020-05-05,11,0
2020-05-06,15,0
2020-05-07,10,0
2020-05-08,7,0
2020-05-09,5,0
2020-05-10,5,0
2020-05-11,5,0
2020-05-12,2,0
2020-05-13,7,0
2020-05-14,7,0
2020-05-15,9,0
2020-05-16,10,0
2020-05-17,13,0
2020-05-18,9,0
2020-05-19,3,0
2020-05-20,5,0
2020-05-21,5,0
2020-05-22,3,0
2020-05-23,9,0
2020-05-24,0,0
2020-05-25,3,0
2020-05-26,8,0
2020-05-27,5,0
2020-05-28,13,0
2020-05-29,6,7
2020-05-30,9,10
2020-05-31,1,4
2020-06-01,7,1
2020-06-02,3,6
2020-06-03,5,12
2020-06-04,2,3
2020-06-05,7,3
2020-06-06,4,6
2020-06-07,1,1
2020-06-08,3,4
2020-06-09,4,2
2020-06-10,5,2
2020-06-11,3,0
2020-06-12,1,9
2020-06-13,4,1
2020-06-14,3,0
2020-06-15,3,6
2020-06-16,0,8
2020-06-17,4,1
2020-06-18,6,2
2020-06-19,27,1
2020-06-20,6,4
2020-06-21,3,18
2020-06-22,4,9
2020-06-23,7,3
2020-06-24,2,2
2020-06-25,3,5
2020-06-26,2,6
2020-06-27,1,0
2020-06-28,0,4
2020-06-29,3,2
2020-06-30,0,1
2020-07-01,1,1
2020-07-02,1,1
2020-07-03,0,1
2020-07-04,0,2
2020-07-05,0,0
2020-07-06,1,0
2020-07-07,1,0
2020-07-08,0,1
2020-07-09,2,2
2020-07-10,6,0
2020-07-11,1,1
2020-07-12,2,3
2020-07-13,0,0
2020-07-14,0,23
2020-07-15,2,0
2020-07-16,1,0
2020-07-17,0,9
2020-07-18,0,0
2020-07-19,0,0
2020-07-20,0,0
2020-07-21,1,2
2020-07-22,0,0
2020-07-23,1,0
2020-07-24,0,0
2020-07-25,2,1
2020-07-26,0,0
2020-07-27,0,2
2020-07-28,0,1
2020-07-29,1,0
2020-07-30,0,0
2020-07-31,0,1
2020-08-01,1,0
2020-08-02,0,0
2020-08-03,0,0
2020-08-04,1,1
2020-08-05,1,0
2020-08-06,1,0
