date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-04,1,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,2,0,0.8
2020-03-11,0,0,0.8
2020-03-12,0,0,0.8
2020-03-13,2,0,1.6
2020-03-14,0,0,1.6
2020-03-15,1,0,2.0
2020-03-16,2,0,2.8
2020-03-17,1,0,2.4
2020-03-18,2,0,3.2
2020-03-19,3,0,4.3
2020-03-20,3,0,4.7
2020-03-21,6,0,7.1
2020-03-22,4,0,8.3
2020-03-23,5,0,9.5
2020-03-24,2,0,9.8
2020-03-25,6,0,11.4
2020-03-26,15,0,16.3
2020-03-27,13,0,20.2
2020-03-28,10,0,21.7
2020-03-29,9,0,23.7
2020-03-30,17,0,28.4
2020-03-31,18,0,34.8
2020-04-01,13,0,37.6
2020-04-02,17,0,38.3
2020-04-03,10,0,37.2
2020-04-04,11,0,37.6
2020-04-05,13,0,39.2
2020-04-06,9,0,36.0
2020-04-07,16,0,35.2
2020-04-08,15,0,36.0
2020-04-09,23,0,38.4
2020-04-10,8,0,37.5
2020-04-11,7,0,36.0
2020-04-12,10,0,34.8
2020-04-13,11,0,35.6
2020-04-14,18,0,36.4
2020-04-15,8,0,33.6
2020-04-16,16,0,30.8
2020-04-17,20,16,35.6
2020-04-18,14,14,38.4
2020-04-19,7,22,37.1
2020-04-20,17,1,39.6
2020-04-21,20,11,40.4
2020-04-22,23,17,46.3
2020-04-23,25,16,49.8
2020-04-24,11,13,46.3
2020-04-25,8,18,43.9
2020-04-26,21,8,49.5
2020-04-27,17,2,49.4
2020-04-28,19,4,49.0
2020-04-29,20,1,47.8
2020-04-30,20,10,45.9
2020-05-01,11,19,45.9
2020-05-02,13,14,47.8
2020-05-03,11,4,43.9
2020-05-04,22,5,45.9
2020-05-05,15,13,44.3
2020-05-06,16,4,42.7
2020-05-07,5,6,36.8
2020-05-08,10,3,36.3
2020-05-09,4,10,32.8
2020-05-10,8,4,31.6
2020-05-11,11,3,27.2
2020-05-12,16,2,27.7
2020-05-13,20,7,29.3
2020-05-14,10,6,31.2
2020-05-15,4,6,28.9
2020-05-16,4,1,28.9
2020-05-17,6,3,28.1
2020-05-18,10,0,27.7
2020-05-19,8,1,24.5
2020-05-20,6,2,19.0
2020-05-21,18,2,22.2
2020-05-22,5,4,22.6
2020-05-23,4,1,22.5
2020-05-24,2,3,20.9
2020-05-25,1,2,17.4
2020-05-26,7,0,17.0
2020-05-27,6,3,17.0
2020-05-28,4,1,11.4
2020-05-29,12,1,14.2
2020-05-30,5,4,14.7
2020-05-31,8,1,17.0
2020-06-01,2,0,17.4
2020-06-02,12,0,19.4
2020-06-03,2,4,17.8
2020-06-04,13,0,21.4
2020-06-05,2,4,17.4
2020-06-06,3,0,16.6
2020-06-07,2,0,14.3
2020-06-08,7,0,16.2
2020-06-09,1,4,11.8
2020-06-10,3,2,12.2
2020-06-11,3,1,8.3
2020-06-12,2,1,8.3
2020-06-13,1,0,7.5
2020-06-14,1,1,7.1
2020-06-15,4,0,6.0
2020-06-16,6,0,7.9
2020-06-17,1,2,7.1
2020-06-18,0,3,5.9
2020-06-19,1,1,5.5
2020-06-20,0,0,5.1
2020-06-21,1,1,5.1
2020-06-22,0,0,3.5
2020-06-23,0,0,1.2
2020-06-24,0,0,0.8
2020-06-25,1,0,1.2
2020-06-26,0,1,0.8
2020-06-27,1,0,1.2
2020-06-28,0,1,0.8
2020-06-29,2,0,1.6
2020-06-30,4,0,3.2
2020-07-01,1,304,3.6
2020-07-02,2,0,4.0
2020-07-03,2,0,4.8
2020-07-04,1,1,4.8
2020-07-05,0,3,4.8
2020-07-06,1,3,4.4
2020-07-07,0,2,2.8
2020-07-08,5,1,4.3
2020-07-09,3,0,4.7
2020-07-10,4,1,5.5
2020-07-11,0,5,5.1
2020-07-12,0,1,5.1
2020-07-13,0,2,4.7
2020-07-14,0,3,4.7
2020-07-15,0,0,2.8
2020-07-16,1,1,2.0
2020-07-17,2,0,1.2
2020-07-18,1,1,1.6
2020-07-19,2,1,2.4
2020-07-20,0,0,2.4
2020-07-21,6,2,4.8
2020-07-22,2,0,5.5
2020-07-23,4,3,6.7
2020-07-24,3,1,7.1
2020-07-25,0,2,6.7
2020-07-26,2,7,6.7
2020-07-27,0,3,6.7
2020-07-28,1,1,4.7
2020-07-29,0,1,4.0
2020-07-30,1,3,2.8
2020-07-31,1,0,2.0
2020-08-01,0,0,2.0
2020-08-02,0,2,1.2
2020-08-03,0,1,1.2
2020-08-04,7,0,3.6
2020-08-05,2,0,4.3
2020-08-06,1,0,4.3
2020-08-07,0,1,3.9
2020-08-08,0,8,3.9
2020-08-09,0,0,3.9
2020-08-10,4,2,5.5
2020-08-11,1,1,3.1
2020-08-12,2,0,3.2
2020-08-13,2,0,3.6
2020-08-14,3,4,4.8
2020-08-15,0,1,4.8
2020-08-16,0,5,4.8
2020-08-17,2,1,4.0
2020-08-18,0,2,3.6
2020-08-19,2,0,3.6
2020-08-20,3,2,4.0
2020-08-21,1,1,3.2
2020-08-22,3,0,4.3
2020-08-23,5,0,6.3
2020-08-24,6,4,7.9
2020-08-25,7,5,10.7
2020-08-26,3,1,11.0
2020-08-27,5,7,11.8
2020-08-28,0,3,11.4
2020-08-29,0,3,10.3
2020-08-30,1,4,8.7
2020-08-31,1,0,6.7
2020-09-01,2,3,4.7
2020-09-02,3,1,4.8
2020-09-03,8,0,6.0
2020-09-04,3,1,7.1
2020-09-05,4,1,8.7
2020-09-06,2,3,9.1
2020-09-07,3,2,9.9
2020-09-08,2,3,9.9
2020-09-09,2,6,9.5
2020-09-10,0,0,6.3
2020-09-11,6,9,7.6
2020-09-12,2,5,6.7
2020-09-13,1,2,6.3
2020-09-14,1,5,5.5
2020-09-15,3,1,5.9
2020-09-16,7,7,7.9
2020-09-17,11,3,12.2
2020-09-18,10,5,13.8
2020-09-19,4,2,14.7
2020-09-20,3,4,15.5
2020-09-21,3,5,16.2
2020-09-22,5,11,17.0
2020-09-23,14,7,19.8
2020-09-24,3,4,16.6
2020-09-25,2,9,13.4
2020-09-26,12,5,16.6
2020-09-27,8,3,18.5
2020-09-28,15,4,23.4
2020-09-29,8,12,24.5
2020-09-30,20,6,26.9
2020-10-01,22,8,34.5
2020-10-02,12,12,38.4
2020-10-03,12,14,38.3
2020-10-04,20,38,43.2
2020-10-05,17,8,43.9
2020-10-06,17,18,47.5
2020-10-07,32,10,52.2
2020-10-08,38,24,58.5
2020-10-09,20,26,61.7
2020-10-10,16,21,63.3
2020-10-11,23,11,64.4
2020-10-12,19,16,65.2
2020-10-13,28,23,69.6
2020-10-14,29,29,68.4
2020-10-15,30,21,65.2
2020-10-16,32,23,70.0
2020-10-17,29,19,75.2
